comment
"{'username': 'Đấu Giá Sim HQ', 'comment': 'Hoàng Quyền1 ngày'}"
"{'username': 'Nguyễn Tiến Việt', 'comment': '266tr 0988266666'}"
"{'username': 'Mạnh Quỳnh', 'comment': '081.558.2222'}"
"{'username': 'Du Nguyen Dac', 'comment': '265tr bán 0833.999.888=1xy'}"
"{'username': 'Nguyễn Quốc Bảo', 'comment': 'Con này phê quad'}"
"{'username': 'Thạch Cơ', 'comment': 'vào thứ Hai'}"
"{'username': 'Sỹ Còm', 'comment': '081.883.8386'}"
"{'username': 'Dai Nguyen', 'comment': '222.222K 096.159.6789'}"
"{'username': 'Nguyễn Hiếu', 'comment': '0829.68.68.68 bán'}"
"{'username': 'Tan Nguyen', 'comment': '239tr'}"
"{'username': 'Manh Nguyen Duc', 'comment': 'Em cần bán 092.44.55555 viettel\n2xx'}"
"{'username': 'Du Nguyen Dac', 'comment': '123tr 0988336666'}"
"{'username': 'Trung Thành', 'comment': '255tr'}"
"{'username': 'Tiến Ngọc', 'comment': '05.68.66.68.68 bán'}"
"{'username': 'HỘI SIM SỐ VIETNAMOBILE', 'comment': '71K thành viên • 10+ bài viết/ngày'}"
"{'username': 'Mạnh Quỳnh', 'comment': '081.669.2222'}"
"{'username': 'Hoàng Quyền', 'comment': 'Trung Thành dùng Hot số này thì VIP ...'}"
"{'username': 'Phát Lộc', 'comment': '150tr 05.66.88.66.88😘'}"
"{'username': 'Văn Dũng', 'comment': '0888889999\nĐỉnh nóc kịch trần !!\n\nMọi quan tâm xin vui lòng inbox ạ 😗😗'}"
"{'username': 'My Lê', 'comment': '168tr 05.66.88.66.88🌹'}"
"{'username': 'Tien Tran', 'comment': '69 tr 0924334334'}"
"{'username': 'Mạnh Quỳnh', 'comment': '0858082222 2x'}"
"{'username': 'MUA BÁN SIM SỐ ĐẸP VIỆT NAM', 'comment': '513K thành viên • 10+ bài viết/ngày'}"
"{'username': 'Nguyễn Xuân Trung', 'comment': '200tr - 09.1111.7777'}"
"{'username': 'BaoNam Le', 'comment': '199tr 0923306868'}"
"{'username': 'Thanh Le', 'comment': '170tr 0888455555'}"
"{'username': 'Hoàng Quyền', 'comment': 'Búa'}"
"{'username': 'Nguyễn Thu Hương', 'comment': '0385.993.993= 1X tr\n0888.692.692= 1X tr'}"
"{'username': 'Sim Số Đẹp VIETTEL Giá Rẻ', 'comment': '68K thành viên • 10+ bài viết/ngày'}"
"{'username': 'Huân Phạm Minh', 'comment': 'Hưng Gia kết ib mình'}"
"{'username': 'Chung Thái Bình', 'comment': 'Nguyễn Xuân Trung a mình ơi'}"
"{'username': 'Nguyễn Thế Nguyên', 'comment': '10tr - 0988519180'}"
"{'username': 'Đình Toàn', 'comment': '250tr 0865555555'}"
"{'username': 'Hoàng Quyền', 'comment': 'Đếm'}"
"{'username': 'Hưng Gia', 'comment': 'Huân Phạm Minh  hot Bác bán nhiều ko ạ ,?'}"
"{'username': 'Văn Dũng', 'comment': 'thanh lí.\n0333456789\n0982456789\n1.x tỷ'}"
"{'username': 'Vũ Đức', 'comment': '179tr - 0979.255.255'}"
"{'username': 'Đấu Giá Sim', 'comment': 'Mới 239tr'}"
"{'username': 'Vũ Hiếu', 'comment': '168.888k - 0333993399 ( hotline có bán )'}"
"{'username': 'Fan cứng', 'comment': 'Hồ Quốc Duy'}"
"{'username': 'Nguyễn Xuân Trung', 'comment': '222tr - 0911117777'}"
"{'username': 'Hoàng Quyền', 'comment': 'Mới 266tr'}"
"{'username': 'Trung Thành', 'comment': '268tr'}"
"{'username': 'Trung Thành', 'comment': '242tr 0837779999'}"
"{'username': 'Đỗ Tiến Thành', 'comment': '188.888k 0913456789'}"
"{'username': 'Mạnh Quỳnh', 'comment': '0858.15.6666 = 7x\n0818.52.6666 = 6x\n0858.01.6666 = 5x\nHtro trả dần'}"
"{'username': 'Thành viên cũng đã tham gia', 'comment': 'MUA BÁN SIM SỐ ĐẸP CHÍNH CHỦ'}"
"{'username': 'Nguyễn Hiếu', 'comment': '0818888666 bán'}"
"{'username': 'Nguyễn Hồng Khương', 'comment': 'Nay em nay rẻ quâ'}"
"{'username': 'Dũng Đàm', 'comment': '68tr 0889868686'}"
"{'username': 'Trung Thành', 'comment': 'Hoàng Quyền ăn con này cho vk dùng ...'}"
"{'username': 'Nguyễn Văn Chung', 'comment': 'Hoang Gia Minh'}"
"{'username': 'Hưng Diệp', 'comment': '180tr 0888000999'}"
"{'username': 'Huân Phạm Minh', 'comment': '150tr 098.236.6789 có bán hot'}"
"{'username': 'Tan Nguyen', 'comment': '222tr 0948666999'}"
"{'username': 'Du Nguyen Dac', 'comment': 'Nguyễn Xuân Trung win'}"
"{'username': 'Hoàng Quyền', 'comment': 'Trung Thành ok ib e ậ'}"
"{'username': 'Giang Văn', 'comment': '155 triệu 0345671222'}"
"{'username': 'Nguyễn Tuấn Anh', 'comment': '8tr886 - 09252.68686'}"
"{'username': 'Tan Nguyen', 'comment': '259tr'}"
"{'username': 'MUA BÁN SIM SỐ ĐẸP CHÍNH CHỦ', 'comment': '181K thành viên • 10+ bài viết/ngày'}"
"{'username': 'Kỳ Anh', 'comment': 'Hồ Quốc Duy e xin giá a'}"
"{'username': 'Tuấn Khanh', 'comment': '100tr 0971136666\nCó bán hot'}"
"{'username': 'Nam Bảo Minh Hà', 'comment': 'vào thứ Hai'}"
