comment, label
e nhớ c e muốn c,
tổng tài của e đây,
Sát khí,
Nghĩ mà cứ ngồi cười một mình , nhìn thầy M T hăm hở đi khất thực  , chả biết đằng sau ồn ào , khen , chê , nói sấu mình , cứ hăm hở đi,
tổng này là tổng gì đâyy hả m,
Tao đang xem cái đéo gì thế này,
Cái lol má đĩ lol ngựa đụ,
Bán các lại tk online cực rẻ: Netflix 49k Canva pro vĩnh viễn 59k,
Cứ nói lung tung làm thao túng lòng dân,
Nói nhân dân vào kênh phản động xem,
Nín cái họng lợi liền. T dọng cây kem dô bản họng liền đó,
Sợ xỉu lên xỉu xuống luôn,
Nhìn đã thương rồi. Thương biệt ly ah. thương tật ah,
Khùng mẹ rồi,
Toi ngiep no tien nhiwu wa tiet la kh co con de huong,
Mua tơi rồi đó,
Cứ thấy vấy bẩn trong giới ghê,
Mệt cl quá,
,
ăn kem nà,
2 báo ơi a chở e đi ăn cức nè ăn cức nè,
Gớm,
Thanh cry,
Cô hai báo hay là cô hai béo,
xàm llll,
Thằng nói xòm,
The lỏ ri,
Thôi đi má,
Thằng hề,
Xao lơ,
Cai muong cua chi se hai cai than cua chi thoi,
ngta tổng tài bá đạo bả tổng tài bá đụ,
Oii yêu quái,
Ba xạo quá,
Sam s i dun,
Cô hằng tuyệt vời,
Khúc này đúng là TT viễn lố thật,
MẸ ƠI KHỦNG KHIẾP QUÁ TRỜI ƠI,
Thằng trấn thành nhìn mồm gian mắt điêu,
Khùng,
Con này nó kích động bạo loạn nhà nước phải có biện pháp ngăn chặn . Để con này lộng ngôn quá nguy hiểm cho xã hội,
Tiền xaololl  của anh đây,
Nhin hl,
Chắc trấn Thành nó k xài smartphone đâu hễ. Chắc mặt nó cũng như tấm đanh ấy nhỉ. Vxl,
Thấy cực khổ quá thì đừng có làm. Về quê làm hồ đi cho khỏe,
Tội nghiệp cho a Quang Linh…đứng chứng kiến thánh khóc diễn siêu phàm,
Nuoc mat chi dung khi .khoc cha me mat chu khong khoc vy chua sao ke tu thien  .dau chan thanh,
Ông quang linh đứng cạnh đang nghỉ ụ má vì có đông người k thì tao đạp phát bay khỏi sân khấu,
muốn bỏ ăn kem,
em chở chế ik ăn kem nè ăn kem nè,
cười vãi l,
Thấy hơi ghê ghê kì kì,
Lần này ko ai gánh nỗi nửa ròi e traiHazzzz toang mẹ dồiCủng như vụ HOÀI LINH 14 tủi bị tẩy chay là về vườn luôn,
Xàm sạo,
Yêu chị Hằng mãi,
ăn kem hok nà,
